MMSI,데이터수,최초_시간,최종_시간,최소_위도,최대_위도,최소_경도,최대_경도,평균_SOG,최대_SOG,최소_SOG,평균_COG,최대_COG,최소_COG
56qifgYJw8bVD6hoByKn5Q==,1079,2020-03-10 07:38:32,2020-03-10 10:59:17,35.0879533333333,91.0,129.027701666667,181.0,0.09518072289156627,102.3,0.0,149.71658943466173,360.0,0.0
57E9r0o0jqTNNX2fgl64wQ==,5448,2020-03-10 00:00:01,2020-03-10 15:46:36,35.9348566666667,91.0,126.529441666667,181.0,0.16492290748898678,102.3,0.0,165.82661527165934,360.0,0.0
57keLuXm+aLtwr7W0v0Ocg==,8752,2020-03-10 00:00:09,2020-03-10 23:59:58,34.63325,91.0,126.086666666667,181.0,2.6819926873857405,102.3,0.0,128.33495201096892,360.0,0.0
58B7YN/ervKc2NdUwQX4Bw==,9951,2020-03-10 00:00:08,2020-03-10 23:59:58,37.00305,37.0315833333333,126.326683333333,126.422716666667,1.3110039192041,11.2,0.0,194.91166716912872,359.3,0.0
58DNIqdaDD1z96L9BYMM3A==,496,2020-03-10 09:43:01,2020-03-10 15:01:26,34.8332166666667,34.8332866666667,128.421351666667,128.421446666667,0.0,0.0,0.0,0.0,0.0,0.0
59PodrLywqzBo2F7wOh0jw==,2584,2020-03-10 02:12:32,2020-03-10 16:01:40,35.9863083333333,37.3452633333333,129.572003333333,132.418183333333,11.96435758513932,15.0,9.1,239.0609907120743,268.8,207.9
5BhPkcVElwZJbBJtT5jWPg==,9,2020-03-10 10:39:09,2020-03-10 10:49:58,34.3024283333333,34.3024633333333,126.76171,126.761733333333,0.0,0.0,0.0,0.0,0.0,0.0
5CTHOEdifhc9udRk+4j92w==,675,2020-03-10 06:44:06,2020-03-10 23:44:16,34.5923083333333,35.1053533333333,128.241105,129.108313333333,6.6324444444444435,11.6,0.0,158.46014814814816,348.5,0.0
5CsADI8TfW1L9fdnJjbfOQ==,34,2020-03-10 10:24:57,2020-03-10 19:25:19,37.3188166666667,37.3188366666667,126.685026666667,126.685066666667,0.011764705882352941,0.1,0.0,360.0,360.0,360.0
5DDswBPLU5MRpx7HPFUh3w==,1800,2020-03-10 01:03:39,2020-03-10 08:14:09,33.3192833333333,34.5541616666667,124.135886666667,124.171943333333,10.395333333333333,10.9,9.4,181.0882222222222,189.6,166.4
5DMsfnMeWMzdAewDXkJo2A==,95,2020-03-10 09:03:08,2020-03-10 10:51:31,35.0456133333333,35.09452,129.007358333333,129.032976666667,5.107368421052631,10.2,0.0,158.4842105263158,359.9,0.0
5E8k9ba6Nk19h6h0HlNYRw==,641,2020-03-10 02:10:45,2020-03-10 17:59:02,37.31286,37.45908,126.46802,126.601933333333,5.646957878315132,11.0,0.0,178.7282371294852,360.0,0.6
5EGRdiLRPBYMRoAUPtwjYg==,289,2020-03-10 06:18:33,2020-03-10 23:58:58,31.9993633333333,32.0012383333333,125.285358333333,125.287925,1.3643598615916956,3.9,0.0,8.152249134948097,9.0,8.0
5EH9ybWBKGN6h7H3vEV91g==,475,2020-03-10 00:00:16,2020-03-10 23:57:16,35.0972733333333,35.097345,126.05387,126.054171666667,0.10610526315789473,1.1,0.0,159.3381052631579,358.7,4.6
5EOR2aM3iLYr6YMtZcu1sg==,2,2020-03-10 07:22:33,2020-03-10 07:28:34,39.00575,39.0057833333333,121.6882,121.688283333333,0.0,0.0,0.0,211.0,329.0,93.0
5FjpjKWh84hEdqKcR2mMpQ==,737,2020-03-10 06:05:27,2020-03-10 23:59:31,31.8054916666667,31.9733283333333,125.382195,125.494753333333,2.8584803256445044,11.9,0.0,151.71981004070557,359.9,0.2
