MMSI,일시,위도,경도,SOG,COG,Heading,거리
c2YvZtQ/z+e0LqCxqJWsNQ==,2020-03-10 00:00:44,35.0997816666667,129.061106666667,0.0,4.5,511,1.758139299510794
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:47,35.0576633333333,128.998063333333,0.0,360.0,511,6.625757584302769
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:47,35.0576633333333,128.998063333333,0.0,360.0,511,6.634564667810354
r7LfpHekoIyTij9iNfdK/A==,2020-03-10 00:00:47,35.0576633333333,128.998063333333,0.0,360.0,511,6.621816733448768
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:48,35.5249533333333,129.444116666667,0.0,12.6,113,59.94052605255998
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:48,34.66121,129.068823333333,0.1,302.5,124,46.91154725298677
KgjoMKzQtV7+C6LMemncyQ==,2020-03-10 00:00:48,35.080385,129.003825,0.0,324.6,355,5.43260152846673
lgUpmIdgb/uQhvCyW+QiZw==,2020-03-10 00:00:49,34.9907166666667,129.57465,13.6,234.0,234,47.80189719310533
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:00:54,35.08296,128.993028333333,0.0,348.7,186,6.397981765368597
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:54,35.0788366666667,128.99339,0.0,250.1,511,6.390019504896787
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:00:54,35.0978383333333,129.065381666667,102.3,360.0,511,1.546022501974943
c2YvZtQ/z+e0LqCxqJWsNQ==,2020-03-10 00:00:54,35.0997833333333,129.061113333333,0.0,301.1,511,1.7586952655306114
Na1KG4x44GiA7NoI6rKu+A==,2020-03-10 00:00:54,35.08296,128.993028333333,0.0,348.7,186,6.405207299685352
McSRVfwQgs01icJ75bOrTA==,2020-03-10 00:00:54,35.0788366666667,128.99339,0.0,250.1,511,6.396939100516804
bK8F48ndh8Dl9Bu3oieW5A==,2020-03-10 00:00:54,35.0978383333333,129.065381666667,102.3,360.0,511,1.5489415546990644
c2YvZtQ/z+e0LqCxqJWsNQ==,2020-03-10 00:00:54,35.0997833333333,129.061113333333,0.0,301.1,511,1.7633484452158454
kDBnSuGX6kYxXd2T/S1C8Q==,2020-03-10 00:00:56,34.6612116666667,129.06882,0.1,331.0,124,46.918150483474655
JN2qBUBPgaa02OjaSeZE5Q==,2020-03-10 00:00:56,35.0995333333333,129.0612,0.0,157.0,511,1.7217461930697375
aBA6Ln+vOjecHsEtYcMdxA==,2020-03-10 00:00:57,35.5249533333333,129.444115,0.0,12.6,113,59.94261741332648
kJl4MWz6Ttpr4//b4b+ujA==,2020-03-10 00:00:57,35.0576966666667,128.997946666667,0.1,0.0,511,6.632126360277997
